,n_components,umap_n_neighbors,umap_min_dist,umap_metric,min_cluster_size,min_samples,cluster_selection_epsilon,cluster_selection_method,hdbscan_metric,ARI,NMI,Homogeneity,Completeness,V-measure,FMI
123,10,10,0.1,euclidean,10,5.0,0.0,leaf,cosine,0.015656561525081675,0.1832092992975652,0.1577853181615941,0.21840016298893206,0.18320929929756516,0.1510569677855755
124,10,10,0.1,euclidean,10,5.0,0.1,eom,euclidean,0.04009950827980112,0.17755338517036737,0.14758746825946853,0.22278786751022936,0.17755338517036737,0.18065080954485496
125,10,10,0.1,euclidean,10,5.0,0.1,eom,cosine,0.007679807241189654,0.0792577175118703,0.047226045512246566,0.24634306714276977,0.07925771751187029,0.2854623624616869
126,10,10,0.1,euclidean,10,5.0,0.1,leaf,euclidean,0.032711900913609065,0.1759400724156101,0.14615006782042997,0.22098349556665578,0.17594007241561013,0.17369310042073757
127,10,10,0.1,euclidean,10,5.0,0.1,leaf,cosine,-0.0010199295493107607,0.06457682653315155,0.04456654410246566,0.11719886463803045,0.06457682653315154,0.20256898124001016
128,10,10,0.1,euclidean,20,,0.0,eom,euclidean,0.023334603078886195,0.11975177179510249,0.0847893925243638,0.2037786196924871,0.11975177179510246,0.21532585798185824
129,10,10,0.1,euclidean,20,,0.0,eom,cosine,0.025630568961660154,0.13133339207986042,0.09264876960651813,0.22548076511653023,0.13133339207986042,0.2203283303577688
130,10,10,0.1,euclidean,20,,0.0,leaf,euclidean,0.03154065383689721,0.12287589076724661,0.08687765580253809,0.20981310653147173,0.1228758907672466,0.22514027196976236
131,10,10,0.1,euclidean,20,,0.0,leaf,cosine,0.01522116438491253,0.09205751665143647,0.06372753663493577,0.165734568297019,0.09205751665143647,0.21888261626319072
132,10,10,0.1,euclidean,20,,0.1,eom,euclidean,0.031812198653299546,0.129101690859811,0.09060932097192581,0.22445320192026894,0.129101690859811,0.23121212642387207
133,10,10,0.1,euclidean,20,,0.1,eom,cosine,0.02988159945773225,0.12026952300607639,0.08531421645920136,0.2037514341960327,0.12026952300607638,0.22123577211486523
134,10,10,0.1,euclidean,20,,0.1,leaf,euclidean,0.015887070182872245,0.11233318600253725,0.07983111703637474,0.18947526063769385,0.11233318600253724,0.20525123993202507
135,10,10,0.1,euclidean,20,,0.1,leaf,cosine,0.030627750199973505,0.13708934748549872,0.09405150765520218,0.25274520269221423,0.13708934748549872,0.24543089998329912
136,10,10,0.1,euclidean,20,5.0,0.0,eom,euclidean,0.000311567066433795,0.06027181828843646,0.040280327543262794,0.11966031401637046,0.06027181828843646,0.2207177713892599
137,10,10,0.1,euclidean,20,5.0,0.0,eom,cosine,0.026577414607476375,0.12890523921060507,0.0987655649209734,0.18551888587212206,0.12890523921060507,0.18980182579588917
138,10,10,0.1,euclidean,20,5.0,0.0,leaf,euclidean,-0.001718605789290953,0.06409640517637132,0.044123631682434765,0.1171041688082629,0.06409640517637133,0.20293402602209346
139,10,10,0.1,euclidean,20,5.0,0.0,leaf,cosine,0.014582243617590302,0.10846194705498752,0.08372852911095865,0.15393409914473408,0.10846194705498752,0.17475517378744346
140,10,10,0.1,euclidean,20,5.0,0.1,eom,euclidean,0.00964374933430507,0.07804185687386536,0.05549826479736822,0.13142863455964576,0.07804185687386536,0.19934972415266541
141,10,10,0.1,euclidean,20,5.0,0.1,eom,cosine,0.0022911242710315434,0.08007967249912505,0.05651204292314623,0.13736671653104882,0.08007967249912504,0.19661765275588466
142,10,10,0.1,euclidean,20,5.0,0.1,leaf,euclidean,0.014344996966372701,0.09873502517017431,0.06994923233396569,0.16778090702320425,0.09873502517017431,0.20660835458072788
143,10,10,0.1,euclidean,20,5.0,0.1,leaf,cosine,0.01172921473952096,0.08806327887072617,0.06207683101169499,0.15147218741539864,0.08806327887072617,0.20691355921474477
144,10,10,0.1,cosine,5,,0.0,eom,euclidean,7.92606839094264e-05,0.1922816253070323,0.17450008218861454,0.21409821466245613,0.19228162530703227,0.12231506123253277
145,10,10,0.1,cosine,5,,0.0,eom,cosine,-0.0005345749746615633,0.19890233074976413,0.18334191023872473,0.21734896578748758,0.19890233074976407,0.12080568408433809
146,10,10,0.1,cosine,5,,0.0,leaf,euclidean,-0.004004817022018063,0.19527044262159587,0.18033451453643295,0.2129038780138226,0.19527044262159587,0.11650219899975939
147,10,10,0.1,cosine,5,,0.0,leaf,cosine,-0.009065814561405648,0.17243764878612686,0.15395777854857975,0.19595901410215635,0.17243764878612686,0.12491582954688406
148,10,10,0.1,cosine,5,,0.1,eom,euclidean,0.0052559767636934235,0.2010279311395155,0.1883681998505179,0.2155119205035132,0.2010279311395155,0.11547117371190975
149,10,10,0.1,cosine,5,,0.1,eom,cosine,-0.002418357214927591,0.047232475624038185,0.02800313280597012,0.15075096275138397,0.04723247562403819,0.27405270383171343
150,10,10,0.1,cosine,5,,0.1,leaf,euclidean,-0.009483720539468065,0.19297774227860942,0.17529175571325398,0.2146330520797964,0.1929777422786094,0.12215952388395629
151,10,10,0.1,cosine,5,,0.1,leaf,cosine,0.012211835129625608,0.07796988181405937,0.04847939988108606,0.1990599511501118,0.07796988181405937,0.27508604802651915
152,10,10,0.1,cosine,5,5.0,0.0,eom,euclidean,-0.0110757138937495,0.19774285397296004,0.1812190198650186,0.21758235383484162,0.19774285397296007,0.12098730015073685
153,10,10,0.1,cosine,5,5.0,0.0,eom,cosine,-0.01009631021803022,0.1744436214199623,0.16015436220742812,0.1915324937634061,0.1744436214199623,0.11307235004223835
154,10,10,0.1,cosine,5,5.0,0.0,leaf,euclidean,-0.007428061748448311,0.19309387966138705,0.17728923288074286,0.21199215743051572,0.19309387966138705,0.116754485993635
155,10,10,0.1,cosine,5,5.0,0.0,leaf,cosine,0.004822553231202577,0.20478961521041475,0.18888108898210315,0.22362439983170754,0.20478961521041472,0.12372284354548695
156,10,10,0.1,cosine,5,5.0,0.1,eom,euclidean,0.0031405631803257364,0.1992337622067996,0.18377853474663383,0.21752714749188198,0.19923376220679961,0.12221402838029806
157,10,10,0.1,cosine,5,5.0,0.1,eom,cosine,-0.0006149850787385088,0.043455495139408724,0.030156683568556667,0.07773659785840921,0.043455495139408724,0.20440214922247615
158,10,10,0.1,cosine,5,5.0,0.1,leaf,euclidean,-0.003354227227327654,0.20943508532673835,0.1914110960986815,0.23120634496672393,0.20943508532673835,0.12769282134498447
159,10,10,0.1,cosine,5,5.0,0.1,leaf,cosine,-0.009584003769821674,0.06326861589434357,0.04280605869681835,0.12121108617310525,0.06326861589434357,0.20949261164290697
