epoch,lr-Adam,step,train/loss_epoch,train/loss_step,val/loss,val/mAP
,5.00E-05,1839,,,,
5,,1839,,0.998882115,,
,5.00E-05,1849,,,,
5,,1849,,0.946714282,,
,5.00E-05,1859,,,,
5,,1859,,0.776994228,,
,5.00E-05,1869,,,,
5,,1869,,1.012245655,,
,5.00E-05,1879,,,,
5,,1879,,1.249172926,,
,5.00E-05,1889,,,,
5,,1889,,1.189985752,,
,5.00E-05,1899,,,,
5,,1899,,0.912024677,,
,5.00E-05,1909,,,,
5,,1909,,0.879396796,,
,5.00E-05,1919,,,,
5,,1919,,1.091163874,,
,5.00E-05,1929,,,,
5,,1929,,0.809515953,,
,5.00E-05,1939,,,,
5,,1939,,0.879142165,,
,5.00E-05,1949,,,,
5,,1949,,1.114576936,,
,5.00E-05,1959,,,,
5,,1959,,0.757290483,,
,5.00E-05,1969,,,,
5,,1969,,0.967630327,,
,5.00E-05,1979,,,,
5,,1979,,1.231778264,,
,5.00E-05,1989,,,,
5,,1989,,1.053570628,,
,5.00E-05,1999,,,,
5,,1999,,0.954541624,,
,5.00E-05,2009,,,,
5,,2009,,1.788408995,,
,5.00E-05,2019,,,,
5,,2019,,0.735751927,,
,5.00E-05,2029,,,,
5,,2029,,1.422370911,,
,5.00E-05,2039,,,,
5,,2039,,1.110844374,,
,5.00E-05,2049,,,,
5,,2049,,1.289188266,,
,5.00E-05,2059,,,,
5,,2059,,1.257172227,,
,5.00E-05,2069,,,,
5,,2069,,1.400337696,,
,5.00E-05,2079,,,,
5,,2079,,1.122277021,,
,5.00E-05,2089,,,,
5,,2089,,1.356534719,,
,5.00E-05,2099,,,,
5,,2099,,0.986536264,,
,5.00E-05,2109,,,,
5,,2109,,1.419422984,,
,5.00E-05,2119,,,,
5,,2119,,0.736895025,,
,5.00E-05,2129,,,,
5,,2129,,0.690540373,,
,5.00E-05,2139,,,,
5,,2139,,1.113835096,,
,5.00E-05,2149,,,,
5,,2149,,1.249668121,,
,5.00E-05,2159,,,,
5,,2159,,0.781763494,,
5,,2165,,,0,0.11427585
5,,2165,1.071144938,,,
,5.00E-05,2169,,,,
6,,2169,,0.945221901,,
,5.00E-05,2179,,,,
6,,2179,,0.988841295,,
,5.00E-05,2189,,,,
6,,2189,,0.747764349,,
,5.00E-05,2199,,,,
6,,2199,,0.951498151,,
,5.00E-05,2209,,,,
6,,2209,,1.245453,,
,5.00E-05,2219,,,,
